,SURF: Hole 3A ,WE1: -190 mV,WE2: 10 mV,WE3: 260 mV,WE4: 530 mV
Patulibacteraceae,0.2059918615,1,0,0,0
Flavobacteriaceae,0.6179755844,1,0,0,0
Chitinophagaceae,1,0.5915446745,0.4862500991,0.1139141558,0.1397244152
Sphingomonadaceae,0.1115174182,1,0.527609955,0.3496287716,0.1669828542
Unclassified Desulfuromonadales,1,0.0705604756,0,0,0
Solimonas,1,0.422135715,0.0299474259,0,0
Legionellaceae,0.6700940072,1,0.5128384265,0.4722189101,0.2253629651
Pseudomonadaceae,0.03543946,1,0.0915389019,0.0060206098,0
Unclassified Gammaproteobacteria,1,0.2613644584,0.1676831523,0.1539775789,0.1235498721
Xanthomonadaceae,1,0.4854560723,0,0,0
Unclassified Bacteria,0.6674892245,1,0.70734377,0.4163417354,0.3249801153
Saprospiraceae,0.0006625308,1,0.7199604561,0.0414197297,0.054521106
Bdellovibrionaceae,0.011976271,1,0.7490223871,0.0846385721,0.098555352
